OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025EP,2025-04-02T06:50:40.766784,14.25586569,.0079077,98.5196,99.5874,155.1030,217.0022,0,U,29845,999,94483,.85897E-3,.2059E-4,0
FENGYUN 1C DEB,1999-025EQ,2025-04-02T02:09:25.455744,14.18909487,.0084097,98.6866,139.3604,317.7640,94.1893,0,U,29846,999,94248,.21252E-3,.415E-5,0
FENGYUN 1C DEB,1999-025ER,2025-04-02T13:23:37.793184,14.02785049,.0085823,98.8946,94.1645,27.2065,92.8185,0,U,29847,999,93171,.35882E-3,.53E-5,0
FENGYUN 1C DEB,1999-025ES,2025-04-02T15:07:25.891392,14.18948170,.0119398,98.2761,336.0173,316.5206,101.4671,0,U,29848,999,93512,.21916E-2,.4866E-4,0
FENGYUN 1C DEB,1999-025ET,2025-04-02T00:53:53.153664,14.03858499,.0081199,99.0146,178.2930,33.7096,90.1396,0,U,29849,999,92795,.15984E-2,.2552E-4,0
FENGYUN 1C DEB,1999-025EU,2025-04-02T09:54:03.515616,13.98753656,.0102571,98.1087,47.8679,290.3508,196.6670,0,U,29850,999,92463,.27822E-2,.4151E-4,0
FENGYUN 1C DEB,1999-025EV,2025-04-02T15:13:19.150752,13.83374310,.014307,99.6138,128.3062,177.5992,304.8455,0,U,29851,999,91853,.50836E-3,.558E-5,0
FENGYUN 1C DEB,1999-025EW,2025-04-02T11:23:09.409344,14.04977030,.0139609,99.3725,93.3757,130.8912,21.6587,0,U,29852,999,92411,.29767E-2,.5184E-4,0
FENGYUN 1C DEB,1999-025EX,2025-04-01T21:12:14.129568,13.92765219,.0162812,98.4356,235.3926,210.3092,148.8578,0,U,29853,999,92120,.2665E-2,.3807E-4,0
FENGYUN 1C DEB,1999-025EY,2025-04-02T10:37:09.158304,13.83099705,.0147224,98.9082,266.7275,16.2750,12.4715,0,U,29854,999,91828,.5378E-3,.599E-5,0
FENGYUN 1C DEB,1999-025EZ,2025-04-02T09:08:32.894592,13.99512565,.0194585,98.1745,60.4486,46.6595,103.9429,0,U,29855,999,92151,.53656E-2,.9183E-4,0
FENGYUN 1C DEB,1999-025FA,2025-04-02T11:39:39.172320,14.38999497,.0290039,98.6910,181.0331,340.0049,80.1942,0,U,29856,999,92708,.31178E-2,.15749E-3,0
FENGYUN 1C DEB,1999-025FB,2025-04-02T08:00:10.841184,13.80888612,.0193346,98.4340,126.6198,267.1848,90.7166,0,U,29857,999,91263,.18865E-2,.2252E-4,0
FENGYUN 1C DEB,1999-025FC,2025-04-02T06:26:36.636576,13.76832516,.0197535,99.2024,201.6242,17.2764,12.0039,0,U,29858,999,91051,.18314E-2,.2039E-4,0
FENGYUN 1C DEB,1999-025FD,2025-04-02T13:18:11.122560,13.72603882,.0296777,98.3633,319.1126,177.8123,182.4406,0,U,29859,999,90491,.2729E-2,.3397E-4,0
FENGYUN 1C DEB,1999-025FE,2025-04-02T02:12:12.396960,13.76022205,.0221809,98.6197,149.5867,308.0816,115.7854,0,U,29860,999,90635,.30557E-2,.3514E-4,0
FENGYUN 1C DEB,1999-025FK,2025-04-02T10:09:14.856768,14.78765517,.0122895,98.9416,334.6947,224.1555,310.4452,0,U,29865,999,96994,.1076E-2,.8914E-4,0
FENGYUN 1C DEB,1999-025FL,2025-04-01T23:54:57.325248,14.62693973,.0198151,98.0187,84.2782,298.4773,130.2281,0,U,29866,999,96607,.70555E-3,.4712E-4,0
FENGYUN 1C DEB,1999-025FN,2025-04-02T09:14:08.878272,14.74448748,.0210208,97.9804,141.3683,103.5650,17.8474,0,U,29868,999,96542,.13985E-2,.13248E-3,0
FENGYUN 1C DEB,1999-025FP,2025-04-02T07:01:58.128096,14.36210364,.0089058,98.8621,15.1723,40.6432,80.5324,0,U,29869,999,95167,.77952E-3,.2333E-4,0
FENGYUN 1C DEB,1999-025FQ,2025-04-02T09:42:58.137120,14.28857429,.0119524,98.4290,71.3069,221.9441,292.8001,0,U,29870,999,94961,.10711E-3,.248E-5,0
FENGYUN 1C DEB,1999-025FR,2025-04-02T13:50:14.849664,14.40650548,.0060391,98.9502,33.3580,139.7103,33.4531,0,U,29871,999,95039,.167E-2,.5402E-4,0
FENGYUN 1C DEB,1999-025FS,2025-04-02T12:51:45.112320,14.37584447,.0239868,98.3609,115.1247,356.8075,3.1570,0,U,29872,999,94938,.13436E-2,.5575E-4,0
FENGYUN 1C DEB,1999-025FT,2025-04-02T12:42:33.609888,13.97906579,.0092644,99.4762,304.9052,167.8638,222.7458,0,U,29873,999,92763,.71762E-3,.1008E-4,0
FENGYUN 1C DEB,1999-025FU,2025-04-01T06:32:41.109792,14.25221016,.0110706,98.3900,358.7049,22.0190,100.7656,0,U,29874,999,93204,.48061E-2,.12022E-3,0
FENGYUN 1C DEB,1999-025FV,2025-04-02T10:34:50.376576,14.24803966,.0083426,98.4369,154.0952,87.5974,284.3366,0,U,29875,999,94701,.11923E-3,.247E-5,0
FENGYUN 1C DEB,1999-025FW,2025-04-02T09:42:35.984160,14.20097862,.0062036,98.3630,157.1505,37.8965,333.5719,0,U,29876,999,94307,.26827E-3,.542E-5,0
FENGYUN 1C DEB,1999-025FX,2025-04-02T13:57:53.125632,14.24161622,.0045617,98.5411,104.9474,239.5122,242.7645,0,U,29877,999,94355,.69933E-3,.1585E-4,0
FENGYUN 1C DEB,1999-025FY,2025-04-02T11:58:19.813152,14.78679643,.0058961,96.9676,295.3256,304.2725,55.2913,0,U,29878,999,94862,.66333E-2,.50355E-3,0
FENGYUN 1C DEB,1999-025GA,2025-04-02T14:36:02.260800,13.92645809,.0236035,98.1832,39.9642,93.1751,78.1595,0,U,29880,999,92023,.25643E-2,.4129E-4,0
FENGYUN 1C DEB,1999-025GB,2025-04-02T10:44:34.215072,13.58473385,.0294364,98.7044,92.5514,14.8606,152.6416,0,U,29881,999,89780,.45785E-2,.4389E-4,0
FENGYUN 1C DEB,1999-025GE,2025-04-02T15:05:03.820416,14.38894759,.0045559,99.6164,95.3657,150.1439,335.1525,0,U,29884,999,94893,.14555E-2,.4487E-4,0
FENGYUN 1C DEB,1999-025GF,2025-04-02T15:17:47.045184,14.13371404,.0118476,98.3275,44.7210,176.2371,357.7979,0,U,29885,999,93867,.24357E-3,.45E-5,0
FENGYUN 1C DEB,1999-025GH,2025-04-02T12:03:31.700736,14.31919016,.0293346,98.7295,171.9705,27.8690,344.3677,0,U,29887,999,94334,.1025E-2,.437E-4,0
FENGYUN 1C DEB,1999-025GJ,2025-04-02T11:59:25.431360,14.19018385,.0277441,99.1978,275.1633,27.5297,334.0265,0,U,29888,999,93897,.59737E-3,.1777E-4,0
FENGYUN 1C DEB,1999-025GK,2025-04-02T01:08:45.245760,14.13039929,.015514,99.4557,194.7225,28.1875,144.7333,0,U,29889,999,93721,.44908E-3,.891E-5,0
FENGYUN 1C DEB,1999-025GL,2025-04-02T04:39:00.228960,14.21593089,.0015935,99.4494,195.2690,79.8471,280.4501,0,U,29890,999,93832,.25659E-2,.5587E-4,0
FENGYUN 1C DEB,1999-025GM,2025-04-02T12:07:21.046944,13.99710121,.0062692,98.7314,106.3161,249.6857,264.5529,0,U,29891,999,92931,.59689E-3,.846E-5,0
FENGYUN 1C DEB,1999-025GN,2025-04-02T15:14:33.525600,14.26923365,.0202997,99.1719,226.4794,311.0278,58.8089,0,U,29892,999,93019,.36375E-2,.10956E-3,0
FENGYUN 1C DEB,1999-025GP,2025-04-02T14:10:11.591616,13.79316316,.0174397,98.5341,213.2107,121.3450,252.4753,0,U,29893,999,91636,.43725E-3,.466E-5,0
FENGYUN 1C DEB,1999-025GQ,2025-04-02T09:50:58.719840,13.80605813,.0168176,99.5098,145.3214,355.1690,16.9308,0,U,29894,999,91567,.78058E-3,.865E-5,0
FENGYUN 1C DEB,1999-025GR,2025-04-02T11:02:10.155264,14.04645038,.0313752,99.8801,177.2452,315.3250,102.9865,0,U,29895,999,91950,.29883E-2,.7379E-4,0
